Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,LCSC Part,Description,KiLib_Generator,LCSC,Manufacturer
"R81, R82",2,0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,,Resistor,SMD_2terminal_chip_molded,,
"R84, R85",2,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,,Resistor,SMD_2terminal_chip_molded,,
SW2,1,BOOT,SW-SMD_4P-L6.0-W6.0-P4.50-LS8.2,,,,tht,C7528752,,,,
SW4,1,RESET,SW-SMD_4P-L6.0-W6.0-P4.50-LS8.2,,,,tht,C7528752,,,,
"U10, U11, U8, U9",4,DB125-3.81-2P-BK-S,CONN-TH_2P-P3.81_DB125-3.81-2P-BK-S,,DB125-3.81-2P-BK-S,,tht,C430618,,,,DORABO(地博电气)
U15,1,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,,,,smt,,"USB serial converter, crystal-less, UART, SOIC-16",package/gullwing,,
U16,1,ESP32-WROOM-32D,ESP32-WROOM-32U,,,,smt,,"RF Module, ESP32-D0WD SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 2.7-3.6V, onboard antenna, SMD",,,
U2,1,L298N,L298N-module-43x43mm,,,,tht,,test point,,,
U3,1,CH224K,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,,CH224K,,smt,C970725,,,,WCH(南京沁恒)
U4,1,CN3795,SSOP-10_L4.9-W3.9-P1.00-LS6.0-BL,,CN3795,,smt,C150555,,,,CONSONANCE(上海如韵)
U5,1,LM358DR,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,,LM358DR,,smt,C5423,,,,TI(德州仪器)
U7,1,LM2576HVS-3.3,PG-TO-263-5_L10.2-W8.7-P1.70-LS14.4-BR,,,,smt,C347436,,,,
USB1,1,TYPE-C 16PIN 2MD,USB-C-SMD_TYPE-C-16PIN-2MD-073,,TYPE-C 16PIN 2MD(073),,smt,C2765186,,,,SHOU HAN(首韩)
VCC1,1,M_VCC,PinHeader_1x01_P2.00mm_Vertical,,,,tht,,test point,connector/pin_header_socket,,
